txn_date,description,merchant,amount,txn_type,balance
2026-07-01,,Tech Company Pvt. Ltd.,35000.0,CREDIT,100000.0
2026-07-01,,Zomato,380.0,DEBIT,99620.0
2026-07-01,,Uber,210.0,DEBIT,99410.0
2026-07-01,,Swiggy,720.0,DEBIT,98690.0
2026-07-02,,Blinkit,1150.0,DEBIT,97540.0
2026-07-02,,Starbucks,420.0,DEBIT,97120.0
2026-07-02,,Burger King,490.0,DEBIT,96630.0
2026-07-03,,Rapido,95.0,DEBIT,96535.0
2026-07-03,,Swiggy,580.0,DEBIT,95955.0
2026-07-03,,Barbeque Nation,1650.0,DEBIT,94305.0
2026-07-04,,Zepto,980.0,DEBIT,93325.0
2026-07-04,,Ola,180.0,DEBIT,93145.0
2026-07-05,,HDFC Mutual Fund,3000.0,DEBIT,90145.0
2026-07-05,,ICICI Prudential MF,2500.0,DEBIT,87645.0
2026-07-05,,Axis Bluechip Fund,2500.0,DEBIT,85145.0
2026-07-05,,Delhi Metro,500.0,DEBIT,84645.0
2026-07-05,,Pizza Hut,850.0,DEBIT,83795.0
2026-07-06,,HDFC Bank,4500.0,DEBIT,79295.0
2026-07-06,,Bajaj Finance,2800.0,DEBIT,76495.0
2026-07-06,,Blue Tokai Coffee,360.0,DEBIT,76135.0
2026-07-06,,Zomato,620.0,DEBIT,75515.0
2026-07-07,,Zerodha,5000.0,DEBIT,70515.0
2026-07-07,,Myntra,2499.0,DEBIT,68016.0
2026-07-07,,Swiggy,690.0,DEBIT,67326.0
2026-07-08,,HDFC Credit Card,7800.0,DEBIT,59526.0
2026-07-08,,Big Basket,1450.0,DEBIT,58076.0
2026-07-08,,Uber,240.0,DEBIT,57836.0
2026-07-09,,Cafe Coffee Day,320.0,DEBIT,57516.0
2026-07-09,,McDonald's,450.0,DEBIT,57066.0
2026-07-10,,Electricity Board,1850.0,DEBIT,55216.0
2026-07-10,,Jio Fiber,899.0,DEBIT,54317.0
2026-07-10,,Airtel,599.0,DEBIT,53718.0
2026-07-11,,Municipal Corporation,320.0,DEBIT,53398.0
2026-07-11,,Instamart,1120.0,DEBIT,52278.0
2026-07-11,,Zomato,550.0,DEBIT,51728.0
2026-07-12,,BookMyShow,750.0,DEBIT,50978.0
2026-07-12,,Dominos,790.0,DEBIT,50188.0
2026-07-13,,Rapido,110.0,DEBIT,50078.0
2026-07-13,,Amazon,1899.0,DEBIT,48179.0
2026-07-14,,Zerodha,4000.0,DEBIT,44179.0
2026-07-14,,Starbucks,390.0,DEBIT,43789.0
2026-07-15,,Zepto,850.0,DEBIT,42939.0
2026-07-15,,Swiggy,510.0,DEBIT,42429.0
