txn_date,description,merchant,amount,txn_type,balance
2026-05-01,,Tech Company Pvt. Ltd.,36000.0,CREDIT,101000.0
2026-05-01,,Starbucks,420.0,DEBIT,100580.0
2026-05-01,,Zomato,680.0,DEBIT,99900.0
2026-05-01,,Uber,210.0,DEBIT,99690.0
2026-05-01,,Swiggy,950.0,DEBIT,98740.0
2026-05-02,,Instamart,1380.0,DEBIT,97360.0
2026-05-02,,Starbucks,450.0,DEBIT,96910.0
2026-05-02,,Rapido,110.0,DEBIT,96800.0
2026-05-02,,Burger King,520.0,DEBIT,96280.0
2026-05-02,,Barbeque Nation,1750.0,DEBIT,94530.0
2026-05-03,,Zomato,400.0,DEBIT,94130.0
2026-05-03,,Ola,190.0,DEBIT,93940.0
2026-05-03,,Swiggy,620.0,DEBIT,93320.0
2026-05-03,,Blue Tokai Coffee,390.0,DEBIT,92930.0
2026-05-03,,Mainland China,1550.0,DEBIT,91380.0
2026-05-04,,Hotel Breakfast,700.0,DEBIT,90680.0
2026-05-04,,Zepto,1150.0,DEBIT,89530.0
2026-05-04,,The Bombay Canteen,1500.0,DEBIT,88030.0
2026-05-04,,Uber,255.0,DEBIT,87775.0
2026-05-04,,Zomato,820.0,DEBIT,86955.0
2026-05-05,,HDFC Mutual Fund,5000.0,DEBIT,81955.0
2026-05-05,,ICICI Prudential MF,4000.0,DEBIT,77955.0
2026-05-05,,Axis Bluechip Fund,4000.0,DEBIT,73955.0
2026-05-05,,Delhi Metro,500.0,DEBIT,73455.0
2026-05-05,,Swiggy,430.0,DEBIT,73025.0
2026-05-05,,Zomato,670.0,DEBIT,72355.0
2026-05-05,,Uber,220.0,DEBIT,72135.0
2026-05-05,,Pizza Hut,920.0,DEBIT,71215.0
2026-05-06,,HDFC Bank,5000.0,DEBIT,66215.0
2026-05-06,,Bajaj Finance,3000.0,DEBIT,63215.0
2026-05-06,,Blinkit,1050.0,DEBIT,62165.0
2026-05-06,,Starbucks,420.0,DEBIT,61745.0
2026-05-06,,Smoke House Deli,1250.0,DEBIT,60495.0
2026-05-06,,Rapido,100.0,DEBIT,60395.0
2026-05-06,,Swiggy,780.0,DEBIT,59615.0
2026-05-07,,Zerodha,12000.0,DEBIT,47615.0
2026-05-07,,Starbucks,420.0,DEBIT,47195.0
2026-05-07,,Ola,160.0,DEBIT,47035.0
2026-05-07,,Zomato,590.0,DEBIT,46445.0
2026-05-07,,Myntra,3499.0,DEBIT,42946.0
2026-05-07,,Swiggy,860.0,DEBIT,42086.0
2026-05-08,,HDFC Credit Card,9200.0,DEBIT,32886.0
2026-05-08,,Big Basket,1780.0,DEBIT,31106.0
2026-05-08,,Zomato,400.0,DEBIT,30706.0
2026-05-08,,Cafe Coffee Day,340.0,DEBIT,30366.0
2026-05-08,,Uber,235.0,DEBIT,30131.0
2026-05-08,,McDonald's,480.0,DEBIT,29651.0
2026-05-08,,Zomato,740.0,DEBIT,28911.0
2026-05-09,,Zerodha,8000.0,DEBIT,20911.0
2026-05-09,,Starbucks,385.0,DEBIT,20526.0
2026-05-09,,Rapido,90.0,DEBIT,20436.0
2026-05-09,,Swiggy,610.0,DEBIT,19826.0
2026-05-09,,Reliance Digital,42000.0,DEBIT,22174.0
2026-05-10,,Client XYZ,20000.0,CREDIT,2174.0
2026-05-10,,Zomato,390.0,DEBIT,2564.0
2026-05-10,,Uber,200.0,DEBIT,2764.0
2026-05-10,,Trattoria,1300.0,DEBIT,4064.0
2026-05-10,,Electricity Board,2100.0,DEBIT,6164.0
2026-05-10,,Swiggy,890.0,DEBIT,7054.0
2026-05-11,,Jio Fiber,899.0,DEBIT,7953.0
2026-05-11,,Municipal Corporation,380.0,DEBIT,8333.0
2026-05-11,,Airtel,599.0,DEBIT,8932.0
2026-05-11,,Instamart,1250.0,DEBIT,10182.0
2026-05-11,,Blue Tokai Coffee,380.0,DEBIT,10562.0
2026-05-11,,Zomato,650.0,DEBIT,11212.0
2026-05-11,,Ola,155.0,DEBIT,11367.0
2026-05-11,,Dominos,840.0,DEBIT,12207.0
2026-05-12,,Starbucks,420.0,DEBIT,12627.0
2026-05-12,,Rapido,95.0,DEBIT,12722.0
2026-05-12,,Swiggy,640.0,DEBIT,13362.0
2026-05-12,,BookMyShow,900.0,DEBIT,14262.0
2026-05-12,,DMart,1720.0,DEBIT,15982.0
2026-05-12,,Zomato,760.0,DEBIT,16742.0
2026-05-13,,Tech Company Pvt. Ltd.,25000.0,CREDIT,8258.0
2026-05-13,,Zomato,410.0,DEBIT,7848.0
2026-05-13,,Uber,215.0,DEBIT,7633.0
2026-05-13,,Cafe Madras,780.0,DEBIT,6853.0
2026-05-13,,Amazon,2499.0,DEBIT,4354.0
2026-05-13,,Swiggy,810.0,DEBIT,3544.0
2026-05-14,,Zerodha,6000.0,DEBIT,2456.0
2026-05-14,,Starbucks,420.0,DEBIT,2876.0
2026-05-14,,Starbucks,390.0,DEBIT,3266.0
2026-05-14,,Zomato,680.0,DEBIT,3946.0
2026-05-14,,Ola,145.0,DEBIT,4091.0
2026-05-14,,Barbeque Nation,1800.0,DEBIT,5891.0
2026-05-15,,Zepto,1100.0,DEBIT,6991.0
2026-05-15,,Swiggy,440.0,DEBIT,7431.0
2026-05-15,,Rapido,105.0,DEBIT,7536.0
2026-05-15,,Burger King,510.0,DEBIT,8046.0
2026-05-15,,Uber,240.0,DEBIT,8286.0
2026-05-15,,Zomato,780.0,DEBIT,9066.0
