txn_date,description,merchant,amount,txn_type,balance
2026-01-01,SALARY CREDIT,Tech Company Pvt. Ltd.,100000,CREDIT,145000
2026-01-01,BREAKFAST,Hotel Breakfast,650,DEBIT,144350
2026-01-01,LUNCH,Trattoria,1250,DEBIT,143100
2026-01-02,GROCERY DELIVERY,Instamart,1180,DEBIT,141920
2026-01-02,COFFEE,Starbucks,420,DEBIT,141500
2026-01-02,RAPIDO RIDE,Rapido,95,DEBIT,141405
2026-01-03,BREAKFAST ORDER,Zomato,380,DEBIT,141025
2026-01-03,LUNCH,Burger King,495,DEBIT,140530
2026-01-03,UBER RIDE,Uber,240,DEBIT,140290
2026-01-03,DINNER ORDER,Swiggy,890,DEBIT,139400
2026-01-04,BRUNCH,Cafe Madras,720,DEBIT,138680
2026-01-04,OLA RIDE,Ola,175,DEBIT,138505
2026-01-04,DINNER,Mainland China,1450,DEBIT,137055
2026-01-05,BREAKFAST,Starbucks,385,DEBIT,136670
2026-01-05,METRO CARD RECHARGE,Delhi Metro,500,DEBIT,136170
2026-01-05,SIP INVESTMENT,HDFC Mutual Fund,5000,DEBIT,131170
2026-01-05,SIP INVESTMENT,ICICI Prudential MF,4000,DEBIT,127170
2026-01-05,SIP INVESTMENT,Axis Bluechip Fund,4000,DEBIT,123170
2026-01-05,LUNCH ORDER,Zomato,650,DEBIT,122520
2026-01-05,UBER RIDE,Uber,195,DEBIT,122325
2026-01-05,DINNER,Barbeque Nation,1650,DEBIT,120675
2026-01-06,BREAKFAST ORDER,Swiggy,420,DEBIT,120255
2026-01-06,RAPIDO RIDE,Rapido,95,DEBIT,120160
2026-01-06,LUNCH,Smoke House Deli,1150,DEBIT,119010
2026-01-06,COFFEE,Blue Tokai Coffee,380,DEBIT,118630
2026-01-06,UBER RIDE,Uber,265,DEBIT,118365
2026-01-06,GROCERY,Zepto,1350,DEBIT,117015
2026-01-06,DINNER ORDER,Zomato,780,DEBIT,116235
2026-01-07,PERSONAL LOAN EMI,HDFC Bank,5000,DEBIT,111235
2026-01-07,BIKE EMI,Bajaj Finance,3000,DEBIT,108235
2026-01-07,GROCERY,Big Basket,1650,DEBIT,106585
2026-01-07,UBER RIDE,Uber,185,DEBIT,106400
2026-01-07,DINNER,Pizza Hut,850,DEBIT,105550
2026-01-08,STOCK PURCHASE,Zerodha,10000,DEBIT,95550
2026-01-08,BREAKFAST,Starbucks,420,DEBIT,95130
2026-01-08,LUNCH ORDER,Swiggy,580,DEBIT,94550
2026-01-08,OLA RIDE,Ola,145,DEBIT,94405
2026-01-09,CREDIT CARD BILL,HDFC Credit Card,8500,DEBIT,85905
2026-01-09,GROCERY DELIVERY,Blinkit,980,DEBIT,84925
2026-01-09,LUNCH,McDonald's,450,DEBIT,84475
2026-01-09,DINNER ORDER,Zomato,720,DEBIT,83755
2026-01-10,MUTUAL FUND PURCHASE,Zerodha,8000,DEBIT,75755
2026-01-10,BREAKFAST ORDER,Zomato,380,DEBIT,75375
2026-01-10,COFFEE,Starbucks,350,DEBIT,75025
2026-01-10,UBER RIDE,Uber,220,DEBIT,74805
2026-01-11,GROCERY,DMart,1850,DEBIT,72955
2026-01-11,LUNCH,Burger King,495,DEBIT,72460
2026-01-11,RAPIDO RIDE,Rapido,85,DEBIT,72375
2026-01-11,DINNER ORDER,Swiggy,680,DEBIT,71695
2026-01-12,ELECTRICITY BILL,Electricity Board,1650,DEBIT,70045
2026-01-12,BROADBAND BILL,Jio Fiber,899,DEBIT,69146
2026-01-12,WATER BILL,Municipal Corporation,380,DEBIT,68766
2026-01-12,DINNER,Dominos,790,DEBIT,67976
2026-01-13,BREAKFAST,Starbucks,420,DEBIT,67556
2026-01-13,LUNCH ORDER,Zomato,550,DEBIT,67006
