txn_date,description,merchant,amount,txn_type,balance
2026-05-01,SALARY CREDIT,Tech Company Pvt. Ltd.,36000,CREDIT,101000
2026-05-01,BREAKFAST,Starbucks,420,DEBIT,100580
2026-05-01,LUNCH ORDER,Zomato,680,DEBIT,99900
2026-05-01,UBER RIDE,Uber,210,DEBIT,99690
2026-05-01,DINNER ORDER,Swiggy,950,DEBIT,98740
2026-05-02,GROCERY DELIVERY,Instamart,1380,DEBIT,97360
2026-05-02,COFFEE,Starbucks,450,DEBIT,96910
2026-05-02,RAPIDO RIDE,Rapido,110,DEBIT,96800
2026-05-02,LUNCH,Burger King,520,DEBIT,96280
2026-05-02,DINNER,Barbeque Nation,1750,DEBIT,94530
2026-05-03,BREAKFAST ORDER,Zomato,400,DEBIT,94130
2026-05-03,OLA RIDE,Ola,190,DEBIT,93940
2026-05-03,LUNCH ORDER,Swiggy,620,DEBIT,93320
2026-05-03,COFFEE,Blue Tokai Coffee,390,DEBIT,92930
2026-05-03,DINNER,Mainland China,1550,DEBIT,91380
2026-05-04,BREAKFAST,Hotel Breakfast,700,DEBIT,90680
2026-05-04,GROCERY,Zepto,1150,DEBIT,89530
2026-05-04,LUNCH,The Bombay Canteen,1500,DEBIT,88030
2026-05-04,UBER RIDE,Uber,255,DEBIT,87775
2026-05-04,DINNER ORDER,Zomato,820,DEBIT,86955
2026-05-05,SIP INVESTMENT,HDFC Mutual Fund,5000,DEBIT,81955
2026-05-05,SIP INVESTMENT,ICICI Prudential MF,4000,DEBIT,77955
2026-05-05,SIP INVESTMENT,Axis Bluechip Fund,4000,DEBIT,73955
2026-05-05,METRO CARD RECHARGE,Delhi Metro,500,DEBIT,73455
2026-05-05,BREAKFAST ORDER,Swiggy,430,DEBIT,73025
2026-05-05,LUNCH ORDER,Zomato,670,DEBIT,72355
2026-05-05,UBER RIDE,Uber,220,DEBIT,72135
2026-05-05,DINNER,Pizza Hut,920,DEBIT,71215
2026-05-06,PERSONAL LOAN EMI,HDFC Bank,5000,DEBIT,66215
2026-05-06,BIKE EMI,Bajaj Finance,3000,DEBIT,63215
2026-05-06,GROCERY DELIVERY,Blinkit,1050,DEBIT,62165
2026-05-06,COFFEE,Starbucks,420,DEBIT,61745
2026-05-06,LUNCH,Smoke House Deli,1250,DEBIT,60495
2026-05-06,RAPIDO RIDE,Rapido,100,DEBIT,60395
2026-05-06,DINNER ORDER,Swiggy,780,DEBIT,59615
2026-05-07,STOCK PURCHASE,Zerodha,12000,DEBIT,47615
2026-05-07,BREAKFAST,Starbucks,420,DEBIT,47195
2026-05-07,OLA RIDE,Ola,160,DEBIT,47035
2026-05-07,LUNCH ORDER,Zomato,590,DEBIT,46445
2026-05-07,SHOPPING,Myntra,3499,DEBIT,42946
2026-05-07,DINNER ORDER,Swiggy,860,DEBIT,42086
2026-05-08,CREDIT CARD BILL,HDFC Credit Card,9200,DEBIT,32886
2026-05-08,GROCERY,Big Basket,1780,DEBIT,31106
2026-05-08,BREAKFAST ORDER,Zomato,400,DEBIT,30706
2026-05-08,COFFEE,Cafe Coffee Day,340,DEBIT,30366
2026-05-08,UBER RIDE,Uber,235,DEBIT,30131
2026-05-08,LUNCH,McDonald's,480,DEBIT,29651
2026-05-08,DINNER ORDER,Zomato,740,DEBIT,28911
2026-05-09,MUTUAL FUND PURCHASE,Zerodha,8000,DEBIT,20911
2026-05-09,BREAKFAST,Starbucks,385,DEBIT,20526
2026-05-09,RAPIDO RIDE,Rapido,90,DEBIT,20436
2026-05-09,LUNCH ORDER,Swiggy,610,DEBIT,19826
2026-05-09,AIR CONDITIONER PURCHASE,Reliance Digital,42000,DEBIT,-22174
2026-05-10,FREELANCE PROJECT,Client XYZ,20000,CREDIT,-2174
2026-05-10,BREAKFAST ORDER,Zomato,390,DEBIT,-2564
2026-05-10,UBER RIDE,Uber,200,DEBIT,-2764
2026-05-10,LUNCH,Trattoria,1300,DEBIT,-4064
2026-05-10,ELECTRICITY BILL,Electricity Board,2100,DEBIT,-6164
2026-05-10,DINNER ORDER,Swiggy,890,DEBIT,-7054
2026-05-11,BROADBAND BILL,Jio Fiber,899,DEBIT,-7953
2026-05-11,WATER BILL,Municipal Corporation,380,DEBIT,-8333
2026-05-11,MOBILE RECHARGE,Airtel,599,DEBIT,-8932
2026-05-11,GROCERY DELIVERY,Instamart,1250,DEBIT,-10182
2026-05-11,COFFEE,Blue Tokai Coffee,380,DEBIT,-10562
2026-05-11,LUNCH ORDER,Zomato,650,DEBIT,-11212
2026-05-11,OLA RIDE,Ola,155,DEBIT,-11367
2026-05-11,DINNER,Dominos,840,DEBIT,-12207
2026-05-12,BREAKFAST,Starbucks,420,DEBIT,-12627
2026-05-12,RAPIDO RIDE,Rapido,95,DEBIT,-12722
2026-05-12,LUNCH ORDER,Swiggy,640,DEBIT,-13362
2026-05-12,MOVIE TICKETS,BookMyShow,900,DEBIT,-14262
2026-05-12,GROCERY,DMart,1720,DEBIT,-15982
2026-05-12,DINNER ORDER,Zomato,760,DEBIT,-16742
2026-05-13,BONUS CREDIT,Tech Company Pvt. Ltd.,25000,CREDIT,8258
2026-05-13,BREAKFAST ORDER,Zomato,410,DEBIT,7848
2026-05-13,UBER RIDE,Uber,215,DEBIT,7633
2026-05-13,LUNCH,Cafe Madras,780,DEBIT,6853
2026-05-13,SHOPPING,Amazon,2499,DEBIT,4354
2026-05-13,DINNER ORDER,Swiggy,810,DEBIT,3544
2026-05-14,STOCK PURCHASE,Zerodha,6000,DEBIT,-2456
2026-05-14,BREAKFAST,Starbucks,420,DEBIT,-2876
2026-05-14,COFFEE,Starbucks,390,DEBIT,-3266
2026-05-14,LUNCH ORDER,Zomato,680,DEBIT,-3946
2026-05-14,OLA RIDE,Ola,145,DEBIT,-4091
2026-05-14,DINNER,Barbeque Nation,1800,DEBIT,-5891
2026-05-15,GROCERY DELIVERY,Zepto,1100,DEBIT,-6991
2026-05-15,BREAKFAST ORDER,Swiggy,440,DEBIT,-7431
2026-05-15,RAPIDO RIDE,Rapido,105,DEBIT,-7536
